,config,PatchMetric,LineMetric,LPIPSMetric,TERMetric,ClipTextMetric,MSEMetric,TERPatchMetric,PSNRMetric,ChrfMetric,BleuMetric,ChrfPatchMetric,BleuPatchMetric,CrystalBleuPatchMetric,CrystalBleuMetric,MSSSIMMetric,ClipImageMetric,FeatureMatchMetric,valid
0,simpleLLM_deepseekr1distillllama70b_pk_1_t_0.7,8.080808080808081,41.25238079071045,87.01886887602754,92.08835998689285,26.633478604830227,98.75155044387985,61.41453382703993,50.84104428972517,95.79979178881405,92.56786586437477,47.98712022858437,31.06179881446014,30.252084279601636,91.77549978086601,81.07301587324876,98.38612793304108,64.61344221856568,91.0
1,simpleLLM_llama3.18binstant_pk_1_t_0.7,1.0,23.753571290969848,76.51595208703017,88.38719821929932,26.118713437057124,97.37114603926496,56.56809295654297,41.82454011498428,96.01692031860351,89.4070471572876,36.116235842704775,17.36904591072355,16.797073822021268,88.31992244720459,67.822018553571,95.65665621873809,47.123444943529805,82.0
2,simpleLLM_llama3.370bversatile_pk_1_t_0.7,5.0,49.2365913772583,86.09396946948507,93.3164659500122,26.96614464469578,98.55680407648501,63.65408374786377,47.17931830364725,97.31753845214844,93.79066795349121,55.168787450790404,36.58063357271254,35.75344188161194,93.01039451599121,79.0186734614165,98.22162536952807,60.82225363993126,92.0
3,simpleLLM_llama370b8192_pk_1_t_0.7,2.0,37.64974920272827,85.30171511723445,91.12608207702637,26.821892748822222,98.4801991221669,60.37952056884765,47.07261546627506,96.73058044433594,92.02023441314697,49.45026188611984,29.219442193956674,28.23181894347403,90.95940742492675,78.88371356502994,97.96694979824862,58.39424763145028,91.0
4,simpleLLM_mixtral8x7b32768_pk_1_t_0.7,2.0202020202020203,26.119047546386717,78.9442103525226,88.53002960513336,26.61880313144641,97.58817034089164,54.83424115421796,42.249504860867276,95.17620649241438,89.11404341880721,36.3998795425651,16.992643177753898,16.430466886534536,87.60105830491192,71.62224824241038,96.66801324051417,51.610514943519334,89.0
