config,TemplateMetric,ImageEqualityMetric,LineMetric,CrystalBleuPatchMetric,SuccessCustomizationMetric,LocationMetric
simpleLLM_googlegemini3propreview_pk_1_t_0.7_v1.62,100.0,0.0,100.0,86.76424407958984,100.0,100.0
simpleLLM_openaigpt5.2_pk_1_t_0.7_v1.62,50.0,0.0,100.0,75.05924987792969,50.0,100.0
