config,TemplateMetric,ImageEqualityMetric,LineMetric,CrystalBleuPatchMetric,SuccessCustomizationMetric,LocationMetric
FAR_llama3.370bversatile_pk_5_t_0.7,0.0,0.0,33.33333206176758,16.621912002563477,0.0,0.0
VIF_llama3.370bversatile_t_0.0_search_gemini2.0flash_t_0.0_identification_gemini2.0flash_t_0.3,0.0,0.0,56.34920692443848,31.721792221069336,0.0,0.0
simpleLLM_deepseekr1distillllama70b_pk_1_t_0.7,0.0,0.0,50.0,28.59443473815918,0.0,0.0
simpleLLM_deepseekr1distillllama70b_pk_5_t_0.7,0.0,0.0,75.0,31.732911109924316,0.0,0.0
simpleLLM_deepseekr1distillllama70b_pk_5_t_1.5,0.0,0.0,70.83333206176758,28.86231803894043,0.0,0.0
simpleLLM_gpt4o20240806_pk_5_t_0.7,0.0,0.0,100.0,55.51961898803711,0.0,100.0
simpleLLM_llama3.370bversatile_pk_1_t_0.7,0.0,0.0,52.77777862548828,29.966808319091797,0.0,0.0
simpleLLM_llama3.370bversatile_pk_5_t_0.7,0.0,0.0,74.34210586547852,33.41594696044922,0.0,0.0
simpleLLM_llama370b8192_pk_1_t_0.7,0.0,0.0,40.0,14.816739082336426,0.0,0.0
simpleLMM_gpt4o20240806_pk_5_t_0.7,0.0,0.0,100.0,61.758026123046875,0.0,100.0
